lat, long, x, y
41, 35, 1071, 14607
41, 36, 2385, 14569
41, 37, 3699, 14517
41, 38, 5015, 14449
41, 39, 6330, 14368
41, 40, 7646, 14269
41, 41, 8961, 14154
41, 42, 10279, 14025
41, 43, 11591, 13883
41, 44, 12911, 13722
41, 45, 14229, 13547
41, 46, 15546, 13356
42, 35, 1032, 12874
42, 36, 2327, 12836
42, 37, 3621, 12784
42, 38, 4915, 12717
42, 39, 6210, 12636
42, 40, 7507, 12535
42, 41, 8801, 12422
42, 42, 10097, 12292
42, 43, 11391, 12148
42, 44, 12687, 11986
42, 45, 13985, 11811
42, 46, 15281, 11618
43, 35, 990, 11138
43, 36, 2268, 11101
43, 37, 3543, 11048
43, 38, 4813, 10978
43, 39, 6086, 10896
43, 40, 7361, 10797
43, 41, 8636, 10682
43, 42, 9911, 10552
43, 43, 11183, 10410
43, 44, 12457, 10246
43, 45, 13735, 10067
43, 46, 15010, 9876
48, 45, 773, 2463
48, 36, 1938, 15655
48, 37, 3104, 2368
48, 38, 4270, 2300
48, 39, 5434, 2214
48, 40, 6602, 2116
48, 41, 7766, 2005
48, 42, 8935, 1871
48, 43, 10092, 1729
48, 44, 11257, 1567
48, 45, 12421, 1390
48, 46, 13582, 1198
48, 47, 14746, 990
48, 48, 15904, 769
